university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
Justus Liebig University Giessen,"Accounting, Finance & Sustainability (M.Sc.)",4.4,,Summer & winter semester,,,,Pour,https://www.studycheck.de/studium/finance-and-accounting/uni-giessen-31070
Justus Liebig University Giessen,Agricultural and Resource Economics (M.Sc.),4.2,4 semesters,Summer & winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/agrarwirtschaft/uni-giessen-19075
Justus Liebig University Giessen,Agricultural Sciences (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/agrarwissenschaften/uni-giessen-3279
Justus Liebig University Giessen,Agrobiotechnology (M.Sc.),4.0,4 semesters,Winter semester,Master of Science,English,,Pour,https://www.studycheck.de/studium/agrarwissenschaften/uni-giessen-6694
Justus Liebig University Giessen,Applied Computer Science (B.Sc.),4.0,6 semesters,Winter semester,"Bachelor of Science
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/informatik/uni-giessen-31138
Justus Liebig University Giessen,Angewandte Musikwissenschaft (M.A.),,,,,,,,https://www.studycheck.de/studium/musikwissenschaft/uni-giessen-6695
Justus Liebig University Giessen,Applied Physics (B.Sc.),3.6,6 semesters,Winter semester,"Bachelor of Science
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/physik/uni-giessen-31139
Justus Liebig University Giessen,Angewandte Theaterwissenschaft (B.A.),4.8,,,,,,,https://www.studycheck.de/studium/theaterwissenschaft/uni-giessen-3830
Justus Liebig University Giessen,Applied Theatre Studies (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/theaterwissenschaft/uni-giessen-6696
Justus Liebig University Giessen,Anglophone Studies (BA),4.2,6 semesters,Winter semester,Bachelor of Arts,German English,,Pour,https://www.studycheck.de/studium/anglophone-studies/uni-giessen-24957
Justus Liebig University Giessen,Anglophone Studies (MA),4.2,4 semesters,Summer & winter semester,Master of Arts,English,,Pour,https://www.studycheck.de/studium/anglophone-studies/uni-giessen-19076
Justus Liebig University Giessen,"Vocational and Corporate Education (B.Ed.)
                                                            Teaching",4.0,,Winter semester,Bachelor of Education,German,,Pour,https://www.studycheck.de/studium/berufliche-und-betriebliche-bildung/uni-giessen-546
Justus Liebig University Giessen,"Vocational and Corporate Education (M.Ed.)
                                                            Teaching",4.4,,Winter semester,Master of Education,German,,Pour,https://www.studycheck.de/studium/berufliche-und-betriebliche-bildung/uni-giessen-8672
Justus Liebig University Giessen,Business Administration (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/betriebswirtschaftslehre-bwl/uni-giessen-6673
Justus Liebig University Giessen,Physical Activity and Health (B.Sc.),3.8,6 semesters,Winter semester,Bachelor of Science,German,,Pour,https://www.studycheck.de/studium/bewegung-und-gesundheit/uni-giessen-11938
Justus Liebig University Giessen,Educational Science (MA),3.6,3 semesters,Summer & winter semester,"Master of Arts
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/bildungswissenschaften/uni-giessen-31142
Justus Liebig University Giessen,Bioinformatics and Systems Biology (M.Sc.),4.1,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Justus Liebig University Gießen, THM - Technical University of Central Hesse",German,,Pour,https://www.studycheck.de/studium/bioinformatik/uni-giessen-224
Justus Liebig University Giessen,Biology (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Pour,https://www.studycheck.de/studium/biologie/uni-giessen-11964
Justus Liebig University Giessen,Biology (M.Sc.),3.7,4 semesters,Winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/biologie/uni-giessen-5729
Justus Liebig University Giessen,Chemistry (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Pour,https://www.studycheck.de/studium/chemie/uni-giessen-16190
Justus Liebig University Giessen,Chemistry (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/chemie/uni-giessen-5738
Justus Liebig University Giessen,Choreography and Performance (MA),,4 semesters,Winter semester,Master of Arts,German English,,Pour,https://www.studycheck.de/studium/choreografie/uni-giessen-7543
Justus Liebig University Giessen,Data Analytics (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/datenanalyse-und-datenmanagement/uni-giessen-31143
Justus Liebig University Giessen,Data Science (B.Sc.),3.4,,,,,,,https://www.studycheck.de/studium/data-web-engineering/uni-giessen-24951
Justus Liebig University Giessen,Data Science (M.Sc.),,,,,,,,https://www.studycheck.de/studium/datenwissenschaft/uni-giessen-31144
Justus Liebig University Giessen,Demokratie und Governance (M.A.),3.3,,,,,,,https://www.studycheck.de/studium/demokratiewissenschaft/uni-giessen-8642
Justus Liebig University Giessen,Nutritional Sciences (B.Sc.),3.9,,,,,,,https://www.studycheck.de/studium/ernaehrungswissenschaften/uni-giessen-1201
Justus Liebig University Giessen,Nutritional Sciences (M.Sc.),3.8,4 semesters,Summer & winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/ernaehrungswissenschaften/uni-giessen-11067
Justus Liebig University Giessen,Educational Science (BA),3.6,6 semesters,Winter semester,Bachelor of Arts,German,,Pour,https://www.studycheck.de/studium/paedagogik/uni-giessen-14369
Justus Liebig University Giessen,Educational Science (MA),3.7,4 semesters,Winter semester,Master of Arts,German English,,Pour,https://www.studycheck.de/studium/erziehungswissenschaft/uni-giessen-8639
Justus Liebig University Giessen,Geography (B.Sc.),3.8,6 semesters,Summer & winter semester,Bachelor of Science,German,,Pour,https://www.studycheck.de/studium/geographie/uni-giessen-12182
Justus Liebig University Giessen,German Studies (BA),3.6,6 semesters,Winter semester,Bachelor of Arts,German,,Pour,https://www.studycheck.de/studium/germanistik/uni-giessen-24953
Justus Liebig University Giessen,German Studies (MA),3.8,4 semesters,Summer & winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/germanistik/uni-giessen-24952
Justus Liebig University Giessen,History (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/geschichte/uni-giessen-26398
Justus Liebig University Giessen,History and Cultural Studies (BA),3.6,6 semesters,Winter semester,Bachelor of Arts,German,,Pour,https://www.studycheck.de/studium/geschichts-und-kulturwissenschaften/uni-giessen-18634
Justus Liebig University Giessen,History and Cultural Studies (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/geschichts-und-kulturwissenschaften/uni-giessen-9014
Justus Liebig University Giessen,Gesellschaft und Kulturen der Moderne (M.A.),3.0,,,,,,,https://www.studycheck.de/studium/gesellschaft-und-kulturen-der-moderne/uni-giessen-8641
Justus Liebig University Giessen,Global Change: Ecosystem Science and Policy (M.Sc.),,3 semesters,Winter semester,Master of Science,English,,"Dublin, Giessen",https://www.studycheck.de/studium/ecosystem-sciences/uni-giessen-10258
Justus Liebig University Giessen,Midwifery Science (B.Sc.),4.5,7 semesters,Winter semester,"Bachelor of Science
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/hebammenwesen/uni-giessen-31141
Justus Liebig University Giessen,"Human Movement Analytics - Biomechanics, Motor Control and Learning (M.Sc.)",2.7,4 semesters,Winter semester,Master of Science,English,,Pour,https://www.studycheck.de/studium/biomechanik/uni-giessen-26399
Justus Liebig University Giessen,Information Technology in Agricultural and Environmental Sciences (M.Sc.),4.0,4 semesters,Summer & winter semester,"Master of Science
                                                                    Degree is awarded by: Justus Liebig University Giessen",German,,Pour,https://www.studycheck.de/studium/agrarwissenschaften/uni-giessen-31145
Justus Liebig University Giessen,Inclusive Pedagogy and Elementary Education (MA),3.1,4 semesters,Winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/inklusive-paedagogik/uni-giessen-8640
Justus Liebig University Giessen,Insect Biotechnology and Bioresources (M.Sc.),4.4,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Justus Liebig University Gießen, THM - Technical University of Central Hesse",English,,Pour,https://www.studycheck.de/studium/biotechnologie/uni-giessen-22848
Justus Liebig University Giessen,Intercultural Communication and Business (BA),3.3,6 semesters,Winter semester,Bachelor of Arts,English,,Pour,https://www.studycheck.de/studium/interkulturelle-kommunikation/uni-giessen-24955
Justus Liebig University Giessen,Intercultural Communication and Business (MA),3.5,4 semesters,Summer & winter semester,Master of Arts,German English,,Pour,https://www.studycheck.de/studium/interkulturelle-kommunikation/uni-giessen-24954
Justus Liebig University Giessen,Interdisciplinary Studies on Eastern Europe (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/osteuropastudien/uni-giessen-6697
Justus Liebig University Giessen,Pediatric Dentistry (M.Sc.),,6 semesters,Summer & winter semester,"Master of Science
                                                                    Degree is awarded by: Justus Liebig University Gießen, University of Marburg",German,"23,000 €¹",Pour,https://www.studycheck.de/studium/zahnmedizin/uni-giessen-19129
Justus Liebig University Giessen,Kindheitspädagogik (B.A.),3.9,,,,,,,https://www.studycheck.de/studium/paedagogik/uni-giessen-14366
Justus Liebig University Giessen,Clinical Sports Therapy and Sports Physiology (M.Sc.),3.3,4 semesters,Winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/sporttherapie/uni-giessen-9394
Justus Liebig University Giessen,Comparative Literature and Cultural Studies (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Pour,https://www.studycheck.de/studium/komparatistik/uni-giessen-24956
Justus Liebig University Giessen,Comparative Literature and Cultural Studies (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/komparatistik/uni-giessen-22849
Justus Liebig University Giessen,Kultur der Antike (B.A.),,,,,,,,https://www.studycheck.de/studium/antike-kulturen/uni-giessen-14367
Justus Liebig University Giessen,,,,,,,,,https://www.studycheck.de/studium/kunst/uni-giessen-16690
Justus Liebig University Giessen,Art Education (MA),2.0,4 semesters,Winter semester,Master of Arts,German,,Pour,https://www.studycheck.de/studium/kunst-und-kunstpaedagogik/uni-giessen-8943
Justus Liebig University Giessen,,,,,,,,,https://www.studycheck.de/studium/latein/uni-giessen-3556
Justus Liebig University Giessen,Food Chemistry (B.Sc.),4.0,6 semesters,Winter semester,Bachelor of Science,German,,Pour,https://www.studycheck.de/studium/lebensmittelchemie/uni-giessen-364
Justus Liebig University Giessen,Food Chemistry (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German,,Pour,https://www.studycheck.de/studium/lebensmittelchemie/uni-giessen-9142
Justus Liebig University Giessen,"Teaching at special schools (state examination)
                                                            Teaching",3.6,9 semesters,Winter semester,State examination,German,,Pour,https://www.studycheck.de/studium/foerderpaedagogik/uni-giessen-18394
Justus Liebig University Giessen,"Primary school teaching qualification (state examination)
                                                            Teaching",3.7,7 semesters,Winter semester,State examination,German,,Pour,https://www.studycheck.de/studium/grundschulpaedagogik/uni-giessen-17984
Justus Liebig University Giessen,"Primary school teaching with the subject of ethics (state examination)
                                                            Teaching",3.7,7 semesters,Winter semester,State examination,German,,Pour,https://www.studycheck.de/studium/grundschullehramt/uni-giessen-26416
Justus Liebig University Giessen,"Primary school teaching with the subject of Islamic religion/Islamic education (state examination)
                                                            Teaching",3.5,14 trimesters,Winter trimester,State examination,German,,Pour,https://www.studycheck.de/studium/grundschullehramt/uni-giessen-26415
Justus Liebig University Giessen,"Teaching at secondary schools (state examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,German,,Pour,https://www.studycheck.de/studium/paedagogik/uni-giessen-18175
